death_id,username,player_name,rank,cause_of_death,brute_damage,brain_damage,fire_damage,oxy_damage,tox_damage,clone_damage,stamina_damage,murder_suspect_username,murder_suspect_player_name
111,Minnie Begum,noobean,Cargo Technician,Suffocation,52,0,8,150,0,0,0,,

131,Magnus Kreamer,maxmozz,Cook,Severe Burns,23,0,175,1,17,0,0,,

130,Sienna Lester,birdty,Janitor,Severe Burns,0,0,206,2,23,0,0,Sienna Lester,birdty

140,Borto Morto,borismoriss,Janitor,Blunt-Force Trauma,96,0,33,90,0,0,0,Borto Morto,borismoriss

139,Milo Jowers,theinvictus,Lawyer,Blunt-Force Trauma,350,0,0,0,0,0,0,,

128,Jeremy Larson,donaldtrumpthecommunist,Head of Personnel,Blunt-Force Trauma,160,8,40,13,0,0,0,Ricardo Bazuso,hideandseeklogic

138,Milo Jowers,theinvictus,Lawyer,Blunt-Force Trauma,240,0,0,0,0,0,0,Milo Jowers,theinvictus

134,Henry Hice,crevette,Detective,Blunt-Force Trauma,88,0,70,59,6,0,0,,

127,Terra Andedare,mcterra,Chief Engineer,Severe Burns,0,0,234,1,0,0,0,,

132,Alfred Rhinehart,tapiocasquid,Captain,Severe Burns,0,0,178,3,29,0,0,,

129,Michael Johnson,lock1000,Bartender,Severe Burns,8,0,198,1,11,0,0,,

126,Cormac Huxley,laketrash,Assistant,Blunt-Force Trauma,193,0,34,1,0,0,0,Acantharctia Liebherri,tapiocasquid

137,Cormac Huxley,laketrash,Captain,Severe Burns,0,0,220,1,0,0,0,Cormac Huxley,laketrash

125,Burt Gardner,noobean,Cargo Technician,Suffocation,99,0,0,104,0,0,0,Thomas Wright,corbincr0w

124,Thomas Wright,corbincr0w,Assistant,Blunt-Force Trauma,158,0,0,59,0,0,0,Burt Gardner,noobean

123,Casey Pearsall,mick1299,Shaft Miner,Severe Burns,47,0,186,5,0,0,0,,

133,Aldous McCarthy,laketrash,Cargo Technician,Severe Burns,0,0,214,3,6,0,0,,

s Morsto,borismoriss

141,Michael Johnson,lock1000,Bartender,Blunt-Force Trauma,165,0,54,12,0,0,0,Borto Morto,borismoriss

142,Issac Buttersworth,jofadda,Shaft Miner,Severe Burns,0,0,177,31,0,0,0,,

135,Milo Jowers,theinvictus,Lawyer,Suffocation,16,0,47,141,0,0,0,,

148,Casey Pearsall,mick1299,Roboticist,Blunt-Force Trauma,30,0,0,0,0,0,0,Terra Andedare,mcterra

 Riley,lock1000
